CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
1196888,R,BRO,BRO,NER,REJ,UTR,MEM,OTH,RSR,,20,D,,2024-04-18,2024-04-17,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2024-04-17,2024-04-18,1
1196869,R,OTV,OTV,NER,REJ,DHO,RSR,,,,20,D,,2024-04-18,2024-04-17,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-04-17,2024-04-18,1
1184444,A,RBK,RBK,BOP,CLD,DNY,,,,,20,D,2024-06-16,2024-05-03,2024-04-17,0,0,1,0,0,1,1,,0.0,1,16.0,1.0,,,,,,,,,20D,2,0,2,0,2023-10-18,2024-05-03,198
1197171,F,BRO,BRO,BRO,CLD,DNY,,,,,13,Z,2024-05-06,2024-04-30,2024-04-16,0,0,1,0,0,1,1,,0.0,1,14.0,1.0,,,,,,,,,13Z,1,0,1,0,2024-04-16,2024-04-30,14
1196508,F,OTV,OTV,OTV,CLO,XPL,,,,,26,A,2024-05-06,2024-05-16,2024-04-16,0,0,0,0,1,1,1,,0.0,1,30.0,0.0,,,,,,,,,26A,1,0,1,0,2024-04-16,2024-05-16,30
1191860,R,BRO,BRO,NER,REJ,LEG,RJA,RSR,,,20,D,,2024-04-17,2024-04-16,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,3,3,0,0,2024-03-01,2024-04-17,47
1196673,R,CNK,CNK,NER,REJ,INS,,,,,30,Z,,2024-04-17,2024-04-15,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30Z,1,1,0,0,2024-04-15,2024-04-17,2
1196308,R,CNK,CNK,NER,REJ,UTR,MEM,RSR,,,20,E,,2024-04-15,2024-04-12,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,20E,1,1,0,0,2024-04-12,2024-04-15,3
1189565,A,BRO,BER,BOP,CLO,MOT,,,,,20,D,2024-06-11,2024-04-30,2024-04-12,0,0,0,0,1,1,1,,1.0,1,18.0,1.0,,,,,,,,,20D,2,0,2,0,2024-01-08,2024-04-30,113
1196109,F,BRO,BRO,BRO,REJ,IAT,MSI,,,,21,A,,2024-04-12,2024-04-12,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,21A,1,1,0,0,2024-04-12,2024-04-12,0
